JudgeFullName,Summary
Rodrick Kuate Defo,"Quantum theory of solids; Computational electronic structure methods; Point defects in semiconductors; Inverse design for large-scale photonic optimization; Kuate Defo’s research is focused on the theory underpinning the design of efficient devices for classical and quantum sensing, communication, and computation. His research achieves these aims through the development of ab-initio approaches to predict solid-state material properties; the determination of fundamental limits and efficient topology-optimization procedures to enhance light-matter interactions in nanophotonic devices; and the discovery and characterization of materials. He is particularly interested in the charge-state stability of point defects in wide band gap semiconductors for quantum sensing applications and in the dynamical process by which equilibrium of the Fermi level occurs in semiconductors. His program for research in nanophotonics uses computational and theoretical techniques to explore nanostructuring as a means of engineering materials with desirable figures of merit including large photonic bandgaps or significant Purcell enhancement. | A. Bahulikar, F. Wang, M. C. Gursoy, and R. Kuate Defo. “Solving the Inverse Band-Structure Problem for Photonic Crystals,” arXiv:2411.09165 [physics.optics] | 1. Technical Expertise: Quantum theory of solids; Computational electronic structure methods; Point defects in semiconductors; Inverse design for large-scale photonic optimization; Theoretical investigation of charge transfer between defects in wide band gap semiconductors;  Computational photonics;  Classical and quantum sensing, communication, and computation.

2. Research Applications:  Research focuses on the design of efficient devices for classical and quantum sensing, communication, and computation.  Specific applications mentioned include quantum computing applications using defects in semiconducting materials and the investigation of color centers in wide-bandgap semiconductors for potential applications in quantum technologies.  No patents are explicitly mentioned in readily available sources.

3. Specialized Knowledge:  Expertise in computational methods for studying materials properties at the atomic level.  Uses advanced computational tools and techniques for simulating light-matter interactions in photonic structures.  Works with large-scale numerical simulations requiring significant computational resources.

4. Interdisciplinary Impact: His research bridges physics, electrical engineering, computer science, and materials science.  The applications of his work extend to quantum computing, photonics, and potentially other areas requiring advanced materials and device design.

5. Active Projects: Currently an Assistant Professor at Syracuse University.  Past research involved postdoctoral work at Princeton University investigating theoretical limits on photonic structures and  PhD work at Harvard University studying defects in semiconducting materials for quantum computation applications.  Funding sources and specific grant details are not explicitly available in readily accessible online sources."
Saman Priyantha Kumarawadu," |  | 1. Technical Expertise: Artificial Intelligence (AI), Deep Learning, Internet-of-Things (IoT) applications and security, Data Mining, Machine Learning.  Methodologies likely include various deep learning architectures (e.g., CNNs, RNNs), data mining techniques (e.g., clustering, classification), and IoT device integration and security protocols.

2. Research Applications:  Applications are likely in areas such as automated disease detection (e.g., COVID-19 detection), business intelligence, and educational technology.  Information on patents would need to be directly sourced from patent databases using his name.

3. Specialized Knowledge:  Specific tools and approaches would depend on his publications.  He might utilize specific deep learning frameworks (e.g., TensorFlow, PyTorch), data mining tools, and specialized IoT hardware and software.  Further investigation of publications is needed for certainty.

4. Interdisciplinary Impact:  His research crosses boundaries between computer science, engineering, and potentially healthcare (due to disease detection applications) and business (due to business intelligence applications).

5. Active Projects:  Current research initiatives and grants would be best identified through his Syracuse University webpage, Google Scholar profile, and possibly through searching grant databases with his name. Specific project details are not available from the current search."
Lihong Lao,"Polymers, fibers and textiles; Soft materials; Smart materials; Bio-inspired design and manufacturing; Personal thermal and moisture management; Advanced materials for the built environment; Lao’s research focuses on understanding the interaction among the human body, buildings and environment, and improving their performance by developing advanced materials and smart systems. The prioritized area is thermal and moisture management for the human body and the built environment. Particularly, the group will use biomimetic approaches inspired by nature for the materials design and engineering based on polymers, fibers, textiles, soft materials, smart materials and advanced manufacturing. The goal is to contribute both scientific fundamentals and practical technologies to serve some global challenges such as human health, environment, energy and sustainability. |  | 1. Technical Expertise:  Lihong Lao's research employs methodologies in polymers, biomaterials, soft materials, and fibrous materials. Techniques include electrospinning, hydrogel fabrication, and the development of ""skin-like"" fabrics with artificial leaf stomata.  Her work involves understanding the interaction between the human body, buildings, and the environment.  Specific techniques used are not explicitly detailed across all sources but publications would yield that detail.

2. Research Applications:  Lao's research has practical applications in personal moisture management (skin-like fabrics), biomedical engineering (simulating arterial plaque with tough hydrogel lumens), and potentially in construction/building materials.  While patents are not explicitly mentioned in easily accessible sources,  further investigation into her publications would reveal any patent filings.

3. Specialized Knowledge:  She utilizes specialized equipment for electrospinning, hydrogel fabrication, and likely material characterization techniques (e.g., microscopy, mechanical testing). More precise tools are not listed directly.  Further investigation is needed.

4. Interdisciplinary Impact:  Her research bridges chemical engineering, materials science, mechanical engineering, biomedical engineering, and potentially architecture or civil engineering (due to her interest in building materials and environmental factors).

5. Active Projects:  Lihong Lao is currently an Assistant Professor at Syracuse University.  Specific details on current research grants beyond the AATCC Foundation Student Research Grant and her prior involvement in a Six Sigma Green Belt project are not easily available from the web searches conducted, but her publications will contain details on currently funded work.  Further investigation into Syracuse University's research grant database is required to obtain a complete list."
Taylor Larsen," |  | 1. Technical Expertise:  The provided information does not detail specific methodologies or techniques used by Taylor Larsen in their role as a Student Success Advisor at Syracuse University.  Their expertise lies in student support, advising, and career services within the engineering and computer science field.

2. Research Applications:  As a Student Success Advisor, Taylor Larsen's role doesn't involve direct research applications or patents.

3. Specialized Knowledge: Taylor Larsen's specialized knowledge focuses on student success strategies, career counseling within the engineering and computer science fields, and understanding the unique challenges and opportunities faced by students in these disciplines.

4. Interdisciplinary Impact: While not directly involved in research, Taylor Larsen's work indirectly impacts interdisciplinary collaboration by supporting students who may work on cross-disciplinary projects.  Their role contributes to the overall success of the college by fostering a supportive environment for students.

5. Active Projects: The provided information does not detail specific current research initiatives or grants associated with Taylor Larsen. Their active projects would primarily focus on individual student support and college-wide student success programs."
Kasey Laurent," | Laurent, K. M., Fogg, B., Ginsburg, T., Halverson, C., Lanzone, M. J., Miller, T. A., … & Bewley, G. P. (2021). Turbulence explains the accelerations of an eagle in natural flight.Proceedings of the National Academy of Sciences,118(23), e2102588118.; Laurent, K., La Ragione, L., Jenkins, J. T., & Bewley, G. P. (2022). How vertical oscillatory motion above a saturated sand bed leads to heap formation.Physical Review E,105(5), 054901. | 1. Technical Expertise: Experimental fluid dynamics, turbulence modeling, aerodynamic performance analysis, bio-inspired engineering (specifically avian flight), wind tunnel experimentation, high-speed imaging techniques.

2. Research Applications:  Improving aerodynamic design of vehicles (both man-made and biological), understanding animal locomotion in turbulent environments, potentially informing the design of more efficient aircraft or drones.  No patents were explicitly found through the initial web searches; further investigation may be needed to determine if any patents exist.

3. Specialized Knowledge: Expertise in using specialized wind tunnels and high-speed cameras to study the aerodynamics of flying animals.  Likely uses advanced computational fluid dynamics (CFD) software for simulations.  Her lab's focus on bio-inspired engineering shows specialized knowledge in biological systems and their application to engineering design.

4. Interdisciplinary Impact: Strong interdisciplinary connections between mechanical/aerospace engineering, biology (ornithology), and potentially even computer science (CFD modeling and data analysis).

5. Active Projects:  Currently researching the aerodynamics of birds of prey.  Her affiliations with Syracuse University and past affiliations with Cornell University point to ongoing research projects within their respective mechanical and aerospace engineering departments.  Further information about specific grants requires deeper investigation into grant databases or her university's research funding announcements."
Andrew C. Lee,"Theory of Computing; Graphs and Combinatorics; Computer Science Education; History of Computing; I am interested in investigating, via mathematical means, the resources used (e.g., time, memory, no. of queries etc.) and the strategies required for solving problems that arise within a computing (e.g., machine learning etc.) context. In my prior studies, I used methods from mathematical logic (e.g., compatibility theory), discrete mathematics (e.g., combinatorial and algorithmic methods for graphs) and automata (e.g., omega automata) in my investigation. I am also interested in incorporating and integrating my expertise in computer science education (e.g. curriculum design and development, undergraduate research etc.) and, in the interplay between the history of computing and education where I find them crucial in educating future computing professionals and scientists. Regarding undergraduate research, some solution strategies formulated in my work are of interest to our students for studying concrete games, questionnaire design and in data analytic applications. | William I. Gasarch and Andrew C. Y. Lee, On the finiteness of the recursive chromatic number, Annals of Pure and Applied Logic, 93 (1998) 73-81.; Andrew C. Lee, On an application of graph theory to formal learning theory, Congressus Numerantium (160): 183-192, 2003.; Andrew C. Lee, Learning via finitely many queries, Annals of Mathematics and Artificial Intelligence, 44 (4), 401-418, 2005.; Andrew C. Lee, A connection between learning models and secret guessing games, Congressus Numerantium (175): 65-72, 2005; William I. Gasarch and Andrew C. Y. Lee, Inferring answers to queries, Journal of Computer and System Sciences 74 (2008) 490–512.; Man Kong, Andrew C. Lee and Sin-Min Lee, On the Balance Index Sets of Homeomorph of Regular Graphs, Congressus Numerantium, vol. 204, Dec. 2010, pp. 193-203. | I cannot create a comprehensive technical profile of Andrew C. Lee's expertise without more specific information to identify the correct individual from the multiple researchers with that name.  The search results indicate several researchers named Andrew C. Lee with varying affiliations and research interests.  Please provide more information, such as their university affiliation, specific research area, or a publication title to help narrow the search."
Andra Lee," |  | 1. Technical Expertise:  Not applicable.  Andra Lee's role at Syracuse University is primarily administrative, not research-focused.  Therefore, no specific methodologies or techniques can be identified.

2. Research Applications: Not applicable.

3. Specialized Knowledge: Not applicable.

4. Interdisciplinary Impact: Not applicable.

5. Active Projects: Not applicable.  Her work involves fundraising, external relations, and advancement for the college, not direct research projects."
Tong Lin,"Computational Fluid Dynamics (CFD); Turbomachinery Design and Performance Analysis; Air Purification, Ventilation, and Indoor Air Quality (IAQ); Airborne Pathogen Transmission Risk Mitigation; Professor Lin specializes in computational fluid dynamics, turbomachinery design and performance analysis, with a particular focus on the interaction between turbomachinery and flow resistance systems to enhance pressure rise and energy efficiency. His expertise extends to improving indoor air quality through the development and optimization of ventilation and air purification systems, including technologies such as UV germicidal irradiation, photocatalytic oxidation, and ionization systems. Dr. Lin actively researches strategies to mitigate airborne pathogen transmission risks in indoor environments, employing both experimental analyses and modeling approaches to devise effective solutions. | Lin T, Pan Y, Sarimurat M, Dang T. System Performance of Highly Coupled Fan and High- Resistance Medium. IEEE Transactions on Components, Packaging and Manufacturing Technology. 2023; 13(9):1399-1409. Available from: https://ieeexplore.ieee.org/document/10217016/ DOI: 10.1109/TCPMT.2023.3305091; Wang L, Lin T, Da Costa H, Zhu S, Stockman T, Kumar A, Weaver J, Spede M, Milton D, Hertzberg J, Toohey D, Vance M, Miller S, Srebric J. Characterization of aerosol plumes from singing and playing wind instruments associated with the risk of airborne virus transmission. Indoor Air. 2022 June 13; 32(6):-. Available from: https://onlinelibrary.wiley.com/doi/10.1111/ina.13064 DOI: 10.1111/ina.13064; Lin T, Sarimurat M, Dang T. Flow Interaction Between Cascade and Flow Resistance Medium. Volume 6: Education; Electric Power; Energy Storage; Fans and Blowers. ASME Turbo Expo 2023: Turbomachinery Technical Conference and Exposition; Jun. – ; Boston, Massachusetts, USA. American Society of Mechanical Engineers; c2023. Available from: https://asmedigitalcollection.asme.org/GT/proceedings/GT2023/86991/V006T10A002/1168053 DOI: 10.1115/GT2023-101271; Zhu S, Lin T, Wang L, Nardell E, Vincent R, Srebric J. Ceiling impact on air disinfection performance of Upper-Room Germicidal Ultraviolet (UR-GUV). Building and Environment. 2022 October; 224:109530-. Available from: https://linkinghub.elsevier.com/retrieve/pii/S0360132322007600 DOI: 10.1016/j.buildenv.2022.109530 | Insufficient information provided to create a comprehensive technical expertise profile.  Please specify the correct Tong Lin by providing their department and university affiliation."
Xiyuan Liu,"Microfluidics; Point of care diagnosis; Wearable biosensor; Xiyuan specializes in microfluidics, point-of-care diagnosis and flexible wearable biosensor development. Specifically, her work focuses on developing biosensing, lab-on-a-chip systems for the emerging applications in clinical diagnosis, wearable sensing and mobile heath (mHeath) technology. |  | 1. Technical Expertise: Microfluidics, point-of-care diagnosis, flexible wearable biosensor development, electrochemical detection,  machine learning, data analytics, nonlinear analysis,  organoid technology integration,  design optimization.

2. Research Applications:  Development of wearable biosensors for health monitoring, point-of-care diagnostic devices, applications of machine learning to optimize design of cardiac organoids.  The exact patents are not explicitly listed in easily accessible sources but further investigation of her publications would be necessary to confirm.

3. Specialized Knowledge: Expertise in microfluidic device fabrication and characterization, experience in integrating  machine learning with organoid technology,  development and application of electrochemical sensors.

4. Interdisciplinary Impact:  Her work bridges engineering (microfluidics, sensor design), biology (organoid technology, biosensors), computer science (machine learning, data analytics), and medicine (point-of-care diagnostics).

5. Active Projects:  Based on publications, ongoing research involves integration of organoid technology and artificial intelligence in biomedical studies and the design optimization of geometrically confined cardiac organoids enabled by machine learning. Specific grant information would require further investigation beyond readily available online resources."
Weisi Liu," |  | 1. Technical Expertise:  Dr. Weisi Liu's research focuses on bladder cancer, utilizing methodologies such as genomic sequencing, analysis of tumor mutation and evolution, and investigation of the role of APOBEC3G (an antiviral enzyme) in cancer development.  Her work involves cause-and-effect experiments and likely employs bioinformatics techniques for analyzing large genomic datasets.

2. Research Applications: Dr. Liu's research has direct implications for understanding the mechanisms driving bladder cancer, potentially leading to new diagnostic tools and therapeutic strategies. While specific patents aren't readily apparent from readily available information, her work contributes to the broader understanding of cancer genomics and evolution, which has significant translational potential.

3. Specialized Knowledge: Dr. Liu's expertise lies in the intersection of cancer genomics, bioinformatics, and experimental oncology. Her work involves the analysis of complex genomic data sets, requiring proficiency in bioinformatics tools and techniques.  She utilizes specific experimental models (likely in vitro and/or in vivo models of bladder cancer) to investigate the role of specific genes and pathways.

4. Interdisciplinary Impact: Dr. Liu's research bridges several fields: oncology (specifically urologic oncology), genetics, genomics, and bioinformatics.  Her work requires collaboration between experimental biologists, geneticists, and bioinformaticians.  Her work on APOBEC3G connects her research to virology and immunology.

5. Active Projects: Dr. Liu's current research, as evidenced by her recent publications and presentations, focuses on the interplay between mutagenesis and extrachromosomal DNA (ecDNA) in shaping urothelial cancer.  Specific funding sources for her current projects are not readily available from public resources.  Her work is part of the Faltas Lab at Weill Cornell Medicine."
Min Liu,"Lean Construction techniques for construction productivity improvement.; Work module development for Digital Twin design.; Using data mining and machine learning approaches for intelligent construction planning.; Integration of project information into visualization and simulation models.; Project control systems and field management technologies. | *Graduate student advised by Dr. Min Liu, **Corresponding author; Javanmardi, A.*,  Liu, M., He, C.**,  Hsiang, S., and Hosseini, A.* (2024). “Improving Construction Meeting Effectiveness: Trade-off Between Reactive and Proactive Site-level Planning Discussions. Accepted by ASCE Journal of Management in in March 2024.; Ding, F.*, Liu, M.**, Hsiang, S., Hu, P., Zhang, Y. and Jiang, K.* (2024). “Duration and Labor Resource Optimization for Construction Projects—A Conditional-Value-at-Risk-Based Analysis.” Accepted byBuildingsin February 2024.; Scala, N., Schiavone,V., Alves, T., and Liu, M., (2024). “The Gold Standard: Developing a Maturity Model to Assess Collaborative Scheduling.” Accepted byEngineering, Construction and Architectural Managementin January 2024.; He, C.*, Liu, M.**, Hsiang, S., and Pierce, N. (2024). “Synthesizing Ontology and Graph Neural Network to Unveil the Implicit Rules for US Bridge Preservation Decisions.” Accepted by ASCE Journal of Management in Engineering in January 2024.; Javanmardi, A.*, He, C.*, Hsiang, S., Hosseini, A.*, Liu, M.** (2023). “Enhancing Construction Project Workflow Reliability Through Observe-plan-do-check-react Cycle: A Bridge Project Case Study.”Buildings, 13(9), 2379.https://doi.org/10.3390/buildings13092379; Chen, G.*, Li, H., Liu, M.**, and Hsiang, S. (2023). “Motivating Reliable Collaboration for Modular Construction: Shapley Value-based Smart Contract.”ASCE Journal of Management in Engineering, 39(6), 04023042.https://doi.org/10.1061/JMENEA.MEENG-542; Chen, G.*, Liu, M.**, Zhang, Y., Wang, Z.*, Hsiang, S. M., and He, C*. (2023). “Using Images to Detect, Plan, Analyze, and Coordinate a Smart Contract in Construction.”ASCEJournal of Management in Engineering, 39(2), 1–18.https://doi.org/10.1061/JMENEA.MEENG-5121; He, C.*, Liu, M.**, Zhang, Y., Wang, Z.*, Hsiang, S. M., Chen, G.*, Li, W., and Dai, G. (2023). “Space–Time–Workforce Visualization and Conditional Capacity Synthesis in Uncertainty.”ASCE Journal of Management in Engineering, 39(2), 04022071.https://doi.org/10.1061/JMENEA.MEENG-4991; Chen, G.*, Li, H.**, Liu, M., and Hsiang, S. (2023). “Knowing What is Going on – a Smart Contract for Modular Construction.”Canadian Journal of Civil Engineering, 50(3), 210-223.https://doi.org/10.1139/cjce-2021-0649。 | I cannot provide a detailed technical analysis because the prompt lacks the crucial information about the specific Min Liu and their department.  Please provide the university or institution where Min Liu works to enable a proper investigation."
Yizhi Liu," |  | 1. Technical Expertise: Construction Robotics, Construction Automation, Human-Robot Collaboration, Data Science, Machine Learning, Artificial Intelligence.  His Google Scholar profile indicates expertise in optimizing CNN model inference on CPUs.  His ResearchGate profile mentions skills in  Data Science, Machine Learning, Robotics, and Artificial Intelligence.

2. Research Applications:  His research likely focuses on practical applications within the construction industry, improving efficiency and safety through automation and robotics.  Specific patents are not readily available from the given information.

3. Specialized Knowledge:  Yizhi Liu utilizes robotics and AI techniques in construction.  He likely works with specialized robotics equipment, sensors, and simulation software for modeling and controlling robots.  Further details require accessing his publications.

4. Interdisciplinary Impact: His research bridges Civil Engineering, Robotics, Computer Science, and Artificial Intelligence. His work integrates knowledge from multiple disciplines to solve real-world problems in the construction sector.

5. Active Projects: He is currently an Assistant Professor at Syracuse University's Department of Civil and Environmental Engineering.  Specific current projects and funding grants are not explicitly listed on the publicly accessible profiles but can likely be found on Syracuse University's research pages or his publication records."
Linda Lowe," |  | 1. **Technical Expertise:** Signal transduction, wound repair in the vascular system, cell and molecular biology, biochemistry, potentially utilizing techniques like optical tweezers (based on AIChE mention).  ResearchGate profile shows publications involving transmembrane proteins, Rab GTPases, and the Sonic Hedgehog response pathway.

2. **Research Applications:**  The provided information doesn't directly point to patents, but the research on wound repair and signal transduction in vascular cells has potential applications in regenerative medicine and vascular disease treatment.

3. **Specialized Knowledge:**  While specific tools aren't explicitly listed, the mention of ""optical tweezers"" suggests expertise in advanced microscopy and biophysical techniques.  Further investigation into her publications would reveal more details on specific equipment and experimental approaches.

4. **Interdisciplinary Impact:** Her work sits at the intersection of biology, biochemistry, and potentially bioengineering, given her affiliation with both Biological Sciences and potentially Bioengineering departments (as suggested by some links).  The research into signal transduction and wound repair has relevance to various fields, including medicine and materials science.

5. **Active Projects:** Information on current research grants and projects requires accessing Lehigh University's internal grant databases or looking for recent publications.  While the ResearchGate profile provides a list of past publications, it doesn't necessarily reflect currently funded projects.  Her involvement with the Biological Membrane Research Group at Lehigh suggests ongoing research in membrane biology."
Eric M. Lui,"Dr. Lui’s current research is in the areas of nonlinear behavior and limit states design of steel structures, seismic analysis and performance-based design of structures, effect of nonlinear damping on structures, application of shape memory alloys in earthquake resistant design, passive magnetic negative stiffness dampers, energy dissipative segmented steel plate shear wall, seismic assessment using the endurance time method, damage identification and quantification using system dynamic properties.; Dr. Lui has authored/coauthored numerous journal papers, conference proceedings, special publications and research reports in these areas. He is also a contributing author to a number of engineering monographs and technical handbooks. In addition, he is the author/co-editor of the 2nd edition CRC Handbook of Structural Engineering, and is the co-author/co-editor of four books on the subject of steel design, structural stability, and earthquake engineering. He currently serves as editor-in-chief of two journals and serves on the editorial boards of several other scientific and engineering journals. | Shan, T. and Lui, E.M. “Energy-based design of buckling-restrained steel braced frames for concurrent occurrences of earthquake and wind,”CivilEng, 2024, 5, 343-377 (DOI:https://doi.org/10.3390/civileng5020018); Majd, N.S. and Lui, E.M. “Analysis and design of a novel segmented energy absorbing steel plate shear wall system,”Advances in Structural Engineering, 2024, 27(1), 85-104. (DOI:https://doi.org/10.1177/13694332231213454); Mamaghani, M., and Lui, E.M. “Use of continuous wavelet transform to generate endurance time excitation functions for nonlinear seismic analysis of structures.”CivilEng, 2023, 4(3), 753-781. (DOI:https://doi.org/10.3390/civileng4030043); Zhou, Y., Shao, H.T., Lui, E.M., Zhong, G. and Li, Z. “Behavior of elliptical buckling restrained braces under cyclic axial load,”Structures, 2023, 48, 331-345. (DOI:https://doi.org/10.1016/j.istruc.2022.12.087); Zheng, T. and Lui, E.M. “A variable stiffness energy dissipation device for drift control of steel frames,”Advances in Structural Engineering, 2023, 26(1), 183-202. (DOI:https://doi.org/10.1177/13694332221122535); Tang, W.K. and Lui, E.M. “Analysis and design of a hybrid re-centring energy dissipation device for steel moment frames,”International Journal of Structural Engineering, 2022, 12(3), 209-239. (DOI:https://doi.org/10.1504/IJSTRUCTE.2022.123747); Wang, Q.W., Liang, L., Lui, E.M., and Shi, Q.X. “Behavior of eccentrically loaded UHPC filled circular steel tubular short columns,”Journal of Constructional Steel Research, 2022, 193, 107282, 16p. (DOI:https://doi.org/10.1016/j.jcsr.2022.107282); Zhou Y., Shao H.T., Cao Y.S. and Lui, E.M. “Application of buckling-restrained braces to earthquake-resistant design of buildings: A review,”Engineering Structures, 2021, 246(1), 112991, 20p.   (DOI:https://doi.org/10.1016/j.engstruct.2021.112991); El Masri, O.Y. and Lui, E.M. “Behavior and design of steel delta girders for flexure and shear,”Journal of Structural Engineering, ASCE, 2021, 147(9): 04021141, 13p. (DOI: https://doi.org/10.1061/(ASCE)ST.1943-541X.0003107); Wang, F. and Lui, E.M. “Experimental investigation of post-fire residual stresses in Q690 welded I-sections,”Thin-walled Structures, 2021, 163: 107631, 14p. (DOI: https://doi.org/10.1016/j.tws.2021.107631); Ma, H.W., Zheng, H., Zhang, W., Tang, Z.Z. and Lui, E.M. “Experimental and numerical study of mechanical behavior of welded steel plate joints,”Metals, 2020, 10: 1293, 16p. (DOI:https://doi.org/10.3390/met10101293); Wang, F. and Lui, E.M. “Experimental study of the post-fire mechanical properties of Q690 high strength steel,”Journal of Constructional Steel Research, 2020, 167, Article 105966.https://doi.org/10.1016/j.jcsr.2020.105966.; Liu, W.-X. and Lui, E.M. “Mathematical modeling and parametric study of magnetic negative stiffness dampers,”Advances in Structural Engineering, 2020, 23(8):1702-1714.; Chen, Y.-L., Chen, Z.-P., Xu, J.-J., Lui, E.M., and Wu B. “Performance evaluation of recycled aggregate concrete under multiaxial compression,”Construction and Building Materials, 2019, 229, Article 116935.https://doi.org/10.1016/j.conbuildmat.2019.116935; Ma, H.W., Wang, J.W., Lui, E.M., Wan, Z.Q, and Wang, K. (2019) “Experimental Study of the Behavior of Beam-column Connections with Expanded Beam Flanges,”Steel and Composite Structures, 31(3), 319-327. (DOI:https://doi.org/10.12989/scs.2019.31.3.319); El Masri, O.Y. and Lui, E.M. (2019) “Influence of Imperfections on the Flexural Resistance of Steel Delta Girders,”Advanced Steel Construction, 15(2), 157-164. (DOI:10.18057/IJASC.2019.15.2.5); El Masri, O.Y. and Lui, E.M. (2019) “Cross-Section Properties and Elastic Lateral-Torsional Buckling Capacity of Steel Delta Girders,”International Journal of Steel Structures, 19(3), 914-931. (DOI:https://doi.org/10.1007/s13296-018-0175-y); Wang, Q.W., Shi, Q.X., Lui, E.M., and Xu, Z.D. (2019) “Axial Compressive Behavior of Reactive Powder Concrete-Filled Circular Steel Tube Columns,”Journal of Construction Steel Research, 153, 42-54. (DOI:https://doi.org/10.1016/j.jcsr.2018.09.032); Wang, X.W, Zhu, B., Cui, S.G., and Lui, EM. (2018) “Experimental Research on PBL Connectors Considering the Effects of Concrete Stress State and Other Connection Parameters,”Journal of Bridge Engineering, ASCE, 23(1), 14p. (DOI:https://doi.org/10.1061/(ASCE)BE.1943-5592.0001158); Ataei, H., Mamaghani, M., and Lui, E.M. (2017) “Proposed Framework for Performance-Based Seismic Design of Highway Bridges,”ASCE Structures Congress, Denver, Colorado, April 6-8, 2017, 14p.; Yao, Z.L. and Lui, E.M. (2017) “Experimental and Numerical Investigation of the Seismic Performance of an A-frame-truss-column Hybrid Supporting Structure,”Advances in Structural Engineering, 20(9), 1277–1298, (DOI:https://doi.org/10.1177/1369433216674951); Mezgebo, M. and Lui, E.M. (2017) “A New Methodology for Energy-based Seismic Design of Steel Moment Frames,”Earthquake Engineering and Engineering Vibrations, 16(1), 131-152. (DOI: 10.1007/s11803-017-0373-1); Mezgebo, M. and Lui, E.M. (2016) “Hysteresis and Soil Site Dependent Input and Hysteretic Energy Spectra for Far-Source Ground Motions,”Advances in Civil Engineering, Volume 2016, Article ID 1548319, 10p. (DOI:http://dx.doi.org/10.1155/2016/1548319); Liu, W.X and Lui, E.M. (2016) “Negative Stiffness Dampers for Structural Vibration Control,”Access Science, 9p. (DOI:https://doi.org/10.1036/1097-8542.446705); Wang, F. and Lui, E.M. (2016) “Behavior of High Strength Steels under and after High Temperature Exposure,”Journal of Steel Structures and Construction, 2:2, 10p. (DOI:10.4172/2472-0437.1000123); Chen, Z.P., Xu, J.J., Chen, Y.L., and Lui, E.M. (2016) “Recycling and Reuse of Construction and Demolition Waste in Concrete-filled Steel Tubes: A Review,”Construction & Building Materials, 126, 641-660. (DOI:https://doi.org/10.1016/j.conbuildmat.2016.09.063); Woldegebriel, Z.T. and Lui, E.M. (2015) “Long-span hybrid suspension and cable-stayed bridges,”McGraw-Hill Yearbook of Science and Technology, 168-172.; Tang, W. and Lui, E.M. (2014) “Hybrid re-centering energy dissipative device for seismic protection,”Journal of Structures, Volume 2014, Article ID 262409, 17p. (DOI:10.1155/2014/262409); Singh, R. and Lui, E.M. (2014) “Design of PR frames with top and seat angle connections using the direct analysis method,”Advanced Steel Construction, 10(2), 116-138.; Lui, E.M. and Zhang, X. (2013) “Stability Design of Cross-Bracing Systems for Frames,”Engineering Journal, American Institute of Steel Construction, 3rd Quarter, 50(3), 155-168.; Yang, Y. and Lui, E.M. (2012) “Behavior and design of steel I-beams with inclined stiffeners,”Steel and Composite Structures, 12(3), 183-206.; Oguzmert, M. and Lui, E.M. (2011) “Seismic design of inelastic structures using equivalent linear system parameters: part 1 – derivation and comparison,”The IES Journal Part A: Civil & Structural Engineering, 4(2), 89-102.; Oguzmert, M. and Lui, E.M. (2011) “Seismic design of inelastic structures using equivalent linear system parameters: part 2 – application and verification,”The IES Journal Part A: Civil & Structural Engineering, 4(2), 103-114.; Khanse, A.C. and Lui, E.M. (2010) “Pulse extraction and displacement response evaluation for long-period ground motions,”The IES Journal Part A: Civil & Structural Engineering, 3(4), 211-223.; Ge, M., Lui, E.M., and Khanse, A.C. (2010) “Non-proportional damage identification in steel frames,”Engineering Structures, 32, 523-533. | 1. **Technical Expertise:**  Nonlinear behavior and limit states design of steel structures; seismic analysis and performance-based design; computer-aided analysis and design of structures; structural stability; structural dynamics; earthquake engineering; numerical modeling; analysis of frame structures considering geometrical and material nonlinearities; experimental studies on moment connections.  Methodologies include both numerical and experimental approaches.

2. **Research Applications:**  His research has practical applications in the design and analysis of steel structures, particularly in relation to seismic performance and stability. While specific patents aren't readily apparent from the readily available online sources, the practical application of his research is evident in improving the safety and resilience of structures subjected to various loads, including earthquakes.

3. **Specialized Knowledge:**  Expertise in computer-aided analysis and design of structures suggests proficiency in specialized software for structural engineering.  His experimental research involves testing of moment connections and other structural components, indicating use of specialized testing equipment and procedures common in structural engineering labs.

4. **Interdisciplinary Impact:** His work connects to other fields such as materials science (in understanding the behavior of steel under various conditions), computer science (in developing and applying computational tools), and potentially civil engineering (in the application of his research to infrastructure design and construction).

5. **Active Projects:** Specific current research initiatives and funding grants require accessing resources beyond readily available online search results.  However, based on his profile, ongoing research continues in steel structures, seismic analysis, and performance-based design.  The Syracuse University website might provide details on current projects and grants."
